Entity_ID,EntitySize,NAICS_before,Industry_before,NAICS_after,Industry_After
1434921	250	523	"100 - 499 Securities, Commodity Contracts, and Other Financial Investments and Related Activities"	523	"100 - 499 Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
1438984	356	54	"100 - 499 Professional, Scientific, and Technical Services"	54	"100 - 499 Professional, Scientific, and Technical Services"
1439321	686	622	"500 - 2499 Hospitals"	622	"500 - 2499 Hospitals"
1440187	13877	622	"2500+ Hospitals"	622	"2500+ Hospitals"
1440653	1333	111	"100 - 2499 Crop Production"	111	"100 - 2499 Crop Production"
1440687	1852	238	"500 - 2499 Specialty Trade Contractors"	238	"500 - 2499 Specialty Trade Contractors"
1442101	1200	561	"500 - 2499 Administrative and Support Services"	561	"500 - 2499 Administrative and Support Services"
1442126	2202	525	"500 - 2499 Funds, Trusts, and Other Financial Vehicles"	525	"500 - 2499 Funds, Trusts, and Other Financial Vehicles"
1442503	3163	54	"2500+ Professional, Scientific, and Technical Services"	54	"2500+ Professional, Scientific, and Technical Services"
1442941	9828	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525	"2500+ Funds, Trusts, and Other Financial Vehicles"
1443562	4179	561	"2500+ Administrative and Support Services"	561	"2500+ Administrative and Support Services"
1446735	38754	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525	"2500+ Funds, Trusts, and Other Financial Vehicles"
1446807	35724	481	"500+ Air Transportation"	481	"500+ Air Transportation"
1447479	60	11	"50 - 99 Agriculture, Forestry, Fishing and Hunting"	11	"50 - 99 Agriculture"
1447887	438	525	"100 - 499 Funds, Trusts, and Other Financial Vehicles"	525	"100 - 499 Funds, Trusts, and Other Financial Vehicles"
1448155	1020	524	"500 - 2499 Insurance Carriers and Related Activities"	524	"500 - 2499 Insurance Carriers and Related Activities"
1448259	1037	522	"500 - 2499 Credit Intermediation and Related Activities"	522	"500 - 2499 Credit Intermediation and Related Activities"
1449775	751	4236	"500+ Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"	4236	"500+ Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"
1450890	236	54	"100 - 499 Professional, Scientific, and Technical Services"	54	"100 - 499 Professional, Scientific, and Technical Services"
1451111	3748	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525	"2500+ Funds, Trusts, and Other Financial Vehicles"
1451175	270	525	"100 - 499 Funds, Trusts, and Other Financial Vehicles"	525	"100 - 499 Funds, Trusts, and Other Financial Vehicles"
